time,Discharge_m_cubed_per_s,Site_number
13-Mar-2000 03:00:00,622.7132,120001A
13-Mar-2000 04:00:00,618.364,120001A
13-Mar-2000 05:00:00,614.0148,120001A
13-Mar-2000 06:00:00,609.7147,120001A
13-Mar-2000 07:00:00,605.5738,120001A
13-Mar-2000 08:00:00,601.4881,120001A
13-Mar-2000 09:00:00,597.4454,120001A
13-Mar-2000 10:00:00,593.4027,120001A
13-Mar-2000 11:00:00,589.36,120001A
13-Mar-2000 12:00:00,585.3173,120001A
13-Mar-2000 13:00:00,581.2746,120001A
13-Mar-2000 14:00:00,577.2319,120001A
13-Mar-2000 15:00:00,571.6611,120001A
13-Mar-2000 16:00:00,561.7044,120001A
13-Mar-2000 17:00:00,558.9121,120001A
13-Mar-2000 18:00:00,555.1369,120001A
13-Mar-2000 19:00:00,548.0567,120001A
13-Mar-2000 20:00:00,543.5236,120001A
13-Mar-2000 21:00:00,543.6774,120001A
13-Mar-2000 22:00:00,542.8588,120001A
13-Mar-2000 23:00:00,538.5484,120001A
14-Mar-2000 00:00:00,533.9695,120001A
14-Mar-2000 01:00:00,529.3906,120001A
14-Mar-2000 02:00:00,525.183,120001A
14-Mar-2000 03:00:00,521.6585,120001A
14-Mar-2000 04:00:00,518.1489,120001A
14-Mar-2000 05:00:00,514.6393,120001A
14-Mar-2000 06:00:00,511.3165,120001A
14-Mar-2000 07:00:00,508.1805,120001A
14-Mar-2000 08:00:00,505.0757,120001A
14-Mar-2000 09:00:00,502.0022,120001A
14-Mar-2000 10:00:00,498.9286,120001A
14-Mar-2000 11:00:00,495.855,120001A
14-Mar-2000 12:00:00,492.7815,120001A
14-Mar-2000 13:00:00,489.7079,120001A
14-Mar-2000 14:00:00,486.6343,120001A
14-Mar-2000 15:00:00,483.5608,120001A
14-Mar-2000 16:00:00,480.2697,120001A
14-Mar-2000 17:00:00,476.761,120001A
14-Mar-2000 18:00:00,473.2524,120001A
14-Mar-2000 19:00:00,470.2555,120001A
14-Mar-2000 20:00:00,468.922,120001A
14-Mar-2000 21:00:00,467.7164,120001A
14-Mar-2000 22:00:00,466.5108,120001A
14-Mar-2000 23:00:00,465.3052,120001A
15-Mar-2000 00:00:00,463.6837,120001A
15-Mar-2000 01:00:00,460.7105,120001A
15-Mar-2000 02:00:00,457.6334,120001A
15-Mar-2000 03:00:00,454.5562,120001A
15-Mar-2000 04:00:00,451.4791,120001A
15-Mar-2000 05:00:00,449.1891,120001A
15-Mar-2000 06:00:00,447.6863,120001A
15-Mar-2000 07:00:00,446.1834,120001A
15-Mar-2000 08:00:00,444.6806,120001A
15-Mar-2000 09:00:00,443.1778,120001A
15-Mar-2000 10:00:00,441.6804,120001A
15-Mar-2000 11:00:00,440.435,120001A
15-Mar-2000 12:00:00,439.3265,120001A
15-Mar-2000 13:00:00,438.218,120001A
15-Mar-2000 14:00:00,437.1095,120001A
15-Mar-2000 15:00:00,435.8603,120001A
15-Mar-2000 16:00:00,434.337,120001A
15-Mar-2000 17:00:00,432.8067,120001A
15-Mar-2000 18:00:00,431.0259,120001A
15-Mar-2000 19:00:00,428.9947,120001A
15-Mar-2000 20:00:00,426.9635,120001A
15-Mar-2000 21:00:00,424.9322,120001A
15-Mar-2000 22:00:00,422.916,120001A
15-Mar-2000 23:00:00,421.0947,120001A
16-Mar-2000 00:00:00,419.2412,120001A
